name,onet_cd
Environmental Restoration Planners,19-2041.02
"Communications Teachers, Postsecondary",25-1122.00
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031.00
Agricultural and Food Science Technicians,19-4011.00
Tree Trimmers and Pruners,37-3013.00
"Computer Occupations, All Other",15-1199.00
Craft Artists,27-1012.00
"Pressers, Textile, Garment, and Related Materials",51-6021.00
Chiropractors,29-1011.00
Clinical Nurse Specialists,29-1141.04
Podiatrists,29-1081.00
Bridge and Lock Tenders,53-6011.00
Metal-Refining Furnace Operators and Tenders,51-4051.00
"Communications Equipment Operators, All Other",43-2099.00
"Physics Teachers, Postsecondary",25-1054.00
Nuclear Technicians,19-4051.00
Photographic Process Workers and Processing Machine Operators,51-9151.00
"Office Machine Operators, Except Computer",43-9071.00
Air Traffic Controllers,53-2021.00
"Makeup Artists, Theatrical and Performance",39-5091.00
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022.00
Tire Repairers and Changers,49-3093.00
Fuel Cell Engineers,17-2141.01
"Physical Scientists, All Other",19-2099.00
Transportation Inspectors,53-6051.00
Fence Erectors,47-4031.00
"Career/Technical Education Teachers, Secondary School",25-2032.00
Gem and Diamond Workers,51-9071.06
"Cutters and Trimmers, Hand",51-9031.00
"Fabric Menders, Except Garment",49-9093.00
City and Regional Planning Aides,19-4061.01
Materials Scientists,19-2032.00
First-Line Supervisors of Animal Husbandry and Animal Care Workers,45-1011.08
Solderers and Brazers,51-4121.07
Automotive Engineering Technicians,17-3027.01
Camera and Photographic Equipment Repairers,49-9061.00
Broadcast News Analysts,27-3021.00
Climate Change Analysts,19-2041.01
"Painting, Coating, and Decorating Workers",51-9123.00
Forest Fire Inspectors and Prevention Specialists,33-2022.00
Producers and Directors,27-2012.00
Physical Therapists,29-1123.00
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00
Nonfarm Animal Caretakers,39-2021.00
Statisticians,15-2041.00
Industrial Ecologists,19-2041.03
Statistical Assistants,43-9111.00
"Railroad Brake, Signal, and Switch Operators",53-4021.00
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021.00
Urban and Regional Planners,19-3051.00
Risk Management Specialists,13-2099.02
Human Factors Engineers and Ergonomists,17-2112.01
Electronics Engineering Technicians,17-3023.01
Prepress Technicians and Workers,51-5111.00
Management Analysts,13-1111.00
Mathematicians,15-2021.00
Landscape Architects,17-1012.00
Power Distributors and Dispatchers,51-8012.00
"Personal Care and Service Workers, All Other",39-9099.00
Chemical Equipment Operators and Tenders,51-9011.00
General and Operations Managers,11-1021.00
Farm and Home Management Advisors,25-9021.00
Psychiatrists,29-1066.00
Pile-Driver Operators,47-2072.00
Mental Health Counselors,21-1014.00
Music Directors,27-2041.01
Interpreters and Translators,27-3091.00
"Financial Specialists, All Other",13-2099.00
Diagnostic Medical Sonographers,29-2032.00
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00
Construction Carpenters,47-2031.01
Operating Engineers and Other Construction Equipment Operators,47-2073.00
"Property, Real Estate, and Community Association Managers",11-9141.00
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00
Social Science Research Assistants,19-4061.00
"Roof Bolters, Mining",47-5061.00
Food Service Managers,11-9051.00
Zoologists and Wildlife Biologists,19-1023.00
Manicurists and Pedicurists,39-5092.00
Loan Officers,13-2072.00
Audio-Visual and Multimedia Collections Specialists,25-9011.00
Radiologists,29-1069.10
Treasurers and Controllers,11-3031.01
Water and Wastewater Treatment Plant and System Operators,51-8031.00
Interior Designers,27-1025.00
null,null
Chefs and Head Cooks,35-1011.00
"Sales Agents, Securities and Commodities",41-3031.01
Electrical Power-Line Installers and Repairers,49-9051.00
Optometrists,29-1041.00
Licensed Practical and Licensed Vocational Nurses,29-2061.00
Surgical Technologists,29-2055.00
Geographic Information Systems Technicians,15-1199.05
Library Technicians,25-4031.00
Clinical Psychologists,19-3031.02
Driver/Sales Workers,53-3031.00
"Buyers and Purchasing Agents, Farm Products",13-1021.00
Natural Sciences Managers,11-9121.00
"Wholesale and Retail Buyers, Except Farm Products",13-1022.00
Surveying Technicians,17-3031.01
Chief Executives,11-1011.00
Financial Analysts,13-2051.00
Immigration and Customs Inspectors,33-3021.05
Upholsterers,51-6093.00
"Maintenance and Repair Workers, General",49-9071.00
"Fraud Examiners, Investigators and Analysts",13-2099.04
Chemical Plant and System Operators,51-8091.00
Veterinary Technologists and Technicians,29-2056.00
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091.00
Fire Inspectors,33-2021.01
Butchers and Meat Cutters,51-3021.00
Online Merchants,13-1199.06
Pharmacy Aides,31-9095.00
Aquacultural Managers,11-9013.03
First-Line Supervisors of Agricultural Crop and Horticultural Workers,45-1011.07
"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00
Animal Scientists,19-1011.00
Acute Care Nurses,29-1141.01
"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021.00
Dredge Operators,53-7031.00
Obstetricians and Gynecologists,29-1064.00
Helpers--Electricians,47-3013.00
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015.00
Petroleum Engineers,17-2171.00
Geological Sample Test Technicians,19-4041.02
Tour Guides and Escorts,39-7011.00
Cooling and Freezing Equipment Operators and Tenders,51-9193.00
Nuclear Engineers,17-2161.00
Mathematical Technicians,15-2091.00
"Community and Social Service Specialists, All Other",21-1099.00
Nurse Anesthetists,29-1151.00
"Environmental Science Teachers, Postsecondary",25-1053.00
Automotive Specialty Technicians,49-3023.02
"Building Cleaning Workers, All Other",37-2019.00
"Architecture Teachers, Postsecondary",25-1031.00
"Biological Science Teachers, Postsecondary",25-1042.00
Watch Repairers,49-9064.00
Glaziers,47-2121.00
"Textile Cutting Machine Setters, Operators, and Tenders",51-6062.00
Fire-Prevention and Protection Engineers,17-2111.02
Animal Breeders,45-2021.00
"Social Sciences Teachers, Postsecondary, All Other",25-1069.00
Precious Metal Workers,51-9071.07
Surgical Assistants,29-2099.07
Biochemical Engineers,17-2199.01
"Potters, Manufacturing",51-9195.05
Septic Tank Servicers and Sewer Pipe Cleaners,47-4071.00
Urologists,29-1069.12
First-Line Supervisors of Logging Workers,45-1011.05
"Stone Cutters and Carvers, Manufacturing",51-9195.03
Radio Operators,27-4013.00
Police and Sheriff's Patrol Officers,33-3051.00
Geological and Petroleum Technicians,19-4041.00
"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00
Green Marketers,11-2011.01
Terrazzo Workers and Finishers,47-2053.00
"Sewers, Hand",51-6051.00
Nuclear Monitoring Technicians,19-4051.02
Geophysical Data Technicians,19-4041.01
Securities and Commodities Traders,41-3031.03
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034.00
"Healthcare Practitioners and Technical Workers, All Other",29-9099.00
Orderlies,31-1015.00
Laundry and Dry-Cleaning Workers,51-6011.00
Industrial Production Managers,11-3051.00
"Welders, Cutters, and Welder Fitters",51-4121.06
Cost Estimators,13-1051.00
"Economics Teachers, Postsecondary",25-1063.00
Accountants,13-2011.01
Public Relations and Fundraising Managers,11-2031.00
Logistics Analysts,13-1081.02
Remote Sensing Scientists and Technologists,19-2099.01
"Cooks, Short Order",35-2015.00
Bioinformatics Scientists,19-1029.01
Timing Device Assemblers and Adjusters,51-2093.00
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00
"Tool Grinders, Filers, and Sharpeners",51-4194.00
Emergency Medical Technicians and Paramedics,29-2041.00
Industrial-Organizational Psychologists,19-3032.00
Museum Technicians and Conservators,25-4013.00
Recycling and Reclamation Workers,51-9199.01
Parking Lot Attendants,53-6021.00
Cardiovascular Technologists and Technicians,29-2031.00
Chemical Technicians,19-4031.00
Training and Development Managers,11-3131.00
Civil Engineers,17-2051.00
Credit Checkers,43-4041.02
Registered Nurses,29-1141.00
"Stock Clerks, Sales Floor",43-5081.01
Producers,27-2012.01
Manufacturing Production Technicians,17-3029.09
Architectural and Engineering Managers,11-9041.00
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00
Chemical Engineers,17-2041.00
Retail Salespersons,41-2031.00
"Hotel, Motel, and Resort Desk Clerks",43-4081.00
"Protective Service Workers, All Other",33-9099.00
"Artists and Related Workers, All Other",27-1019.00
"Tax Examiners and Collectors, and Revenue Agents",13-2081.00
Social and Community Service Managers,11-9151.00
Tellers,43-3071.00
Medical Appliance Technicians,51-9082.00
Personal Financial Advisors,13-2052.00
Stock Clerks and Order Fillers,43-5081.00
Financial Examiners,13-2061.00
"Nursing Instructors and Teachers, Postsecondary",25-1072.00
Computer Systems Analysts,15-1121.00
Industrial Safety and Health Engineers,17-2111.01
"Glass Blowers, Molders, Benders, and Finishers",51-9195.04
"Art, Drama, and Music Teachers, Postsecondary",25-1121.00
Plasterers and Stucco Masons,47-2161.00
Financial Managers,11-3031.00
"Cooks, Restaurant",35-2014.00
"Compensation, Benefits, and Job Analysis Specialists",13-1141.00
Structural Iron and Steel Workers,47-2221.00
Patient Representatives,43-4051.03
Bartenders,35-3011.00
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031.00
Public Address System and Other Announcers,27-3012.00
Transportation Planners,19-3099.01
Lawyers,23-1011.00
Fundraisers,13-1131.00
Construction and Building Inspectors,47-4011.00
Photonics Engineers,17-2199.07
"Special Education Teachers, Preschool",25-2051.00
"Computer Science Teachers, Postsecondary",25-1021.00
Clergy,21-2011.00
"Material Moving Workers, All Other",53-7199.00
Radiation Therapists,29-1124.00
Sales Managers,11-2022.00
Cargo and Freight Agents,43-5011.00
Phlebotomists,31-9097.00
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011.00
Maids and Housekeeping Cleaners,37-2012.00
Counseling Psychologists,19-3031.03
Fitness Trainers and Aerobics Instructors,39-9031.00
"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00
Baggage Porters and Bellhops,39-6011.00
"Health Technologists and Technicians, All Other",29-2099.00
Web Administrators,15-1199.03
"Foreign Language and Literature Teachers, Postsecondary",25-1124.00
File Clerks,43-4071.00
Amusement and Recreation Attendants,39-3091.00
Medical Equipment Repairers,49-9062.00
Business Continuity Planners,13-1199.04
Pipe Fitters and Steamfitters,47-2152.01
Medical Transcriptionists,31-9094.00
Aerospace Engineering and Operations Technicians,17-3021.00
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",53-6051.07
Mechanical Engineering Technologists,17-3029.07
First-Line Supervisors of Aquacultural Workers,45-1011.06
"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00
"Earth Drillers, Except Oil and Gas",47-5021.00
Cytotechnologists,29-2011.02
Heating and Air Conditioning Mechanics and Installers,49-9021.01
Concierges,39-6012.00
"Mathematical Science Teachers, Postsecondary",25-1022.00
"Plumbers, Pipefitters, and Steamfitters",47-2152.00
"Rail Transportation Workers, All Other",53-4099.00
"Meter Readers, Utilities",43-5041.00
Nursery Workers,45-2092.01
"Special Education Teachers, Secondary School",25-2054.00
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191.00
Private Detectives and Investigators,33-9021.00
"Interviewers, Except Eligibility and Loan",43-4111.00
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00
Stonemasons,47-2022.00
"Credit Authorizers, Checkers, and Clerks",43-4041.00
Molecular and Cellular Biologists,19-1029.02
"Transportation Workers, All Other",53-6099.00
Carpenters,47-2031.00
Precision Agriculture Technicians,19-4099.02
"Packers and Packagers, Hand",53-7064.00
Foresters,19-1032.00
Semiconductor Processors,51-9141.00
Shoe Machine Operators and Tenders,51-6042.00
Anthropologists and Archeologists,19-3091.00
Paperhangers,47-2142.00
Fishers and Related Fishing Workers,45-3011.00
Neuropsychologists and Clinical Neuropsychologists,19-3039.01
Wellhead Pumpers,53-7073.00
Government Property Inspectors and Investigators,13-1041.04
Gaming Cage Workers,43-3041.00
"Gaming Service Workers, All Other",39-3019.00
"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091.00
"Rock Splitters, Quarry",47-5051.00
Biostatisticians,15-2041.01
Computer Hardware Engineers,17-2061.00
Dishwashers,35-9021.00
Assessors,13-2021.01
Motion Picture Projectionists,39-3021.00
Construction Managers,11-9021.00
Sewing Machine Operators,51-6031.00
"Financial Clerks, All Other",43-3099.00
Self-Enrichment Education Teachers,25-3021.00
Dancers,27-2031.00
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00
Multimedia Artists and Animators,27-1014.00
Psychiatric Technicians,29-2053.00
"Life Scientists, All Other",19-1099.00
Parking Enforcement Workers,33-3041.00
"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00
Farm and Ranch Managers,11-9013.02
Physical Therapist Assistants,31-2021.00
Art Directors,27-1011.00
"Production Workers, All Other",51-9199.00
Respiratory Therapists,29-1126.00
Mechanical Drafters,17-3013.00
Radiologic Technicians,29-2099.06
Copy Writers,27-3043.04
Web Developers,15-1134.00
"Software Developers, Systems Software",15-1133.00
"Shipping, Receiving, and Traffic Clerks",43-5071.00
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031.00
Helpers--Production Workers,51-9198.00
Purchasing Managers,11-3061.00
Informatics Nurse Specialists,15-1121.01
Landscaping and Groundskeeping Workers,37-3011.00
"Computer, Automated Teller, and Office Machine Repairers",49-2011.00
Aerospace Engineers,17-2011.00
"Social Work Teachers, Postsecondary",25-1113.00
"Transportation Attendants, Except Flight Attendants",53-6061.00
Automotive Engineers,17-2141.02
Postmasters and Mail Superintendents,11-9131.00
"Financial Managers, Branch or Department",11-3031.02
Customs Brokers,13-1199.03
"Sales Representatives, Services, All Other",41-3099.00
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094.00
"Education Administrators, Preschool and Childcare Center/Program",11-9031.00
Soil and Plant Scientists,19-1013.00
Market Research Analysts and Marketing Specialists,13-1161.00
"Psychology Teachers, Postsecondary",25-1066.00
"Therapists, All Other",29-1129.00
"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00
"Mining Machine Operators, All Other",47-5049.00
"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00
Sheet Metal Workers,47-2211.00
Training and Development Specialists,13-1151.00
Radio and Television Announcers,27-3011.00
Desktop Publishers,43-9031.00
First-Line Supervisors of Office and Administrative Support Workers,43-1011.00
First-Line Supervisors of Retail Sales Workers,41-1011.00
Software Quality Assurance Engineers and Testers,15-1199.01
"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00
Family and General Practitioners,29-1062.00
Environmental Engineering Technicians,17-3025.00
Microsystems Engineers,17-2199.06
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00
Cashiers,41-2011.00
Order Clerks,43-4151.00
Endoscopy Technicians,31-9099.02
Subway and Streetcar Operators,53-4041.00
Graduate Teaching Assistants,25-1191.00
"Cooks, Private Household",35-2013.00
Naturopathic Physicians,29-1199.04
"Media and Communication Equipment Workers, All Other",27-4099.00
"Library Science Teachers, Postsecondary",25-1082.00
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035.00
Bicycle Repairers,49-3091.00
Municipal Clerks,43-4031.02
"Welders, Cutters, Solderers, and Brazers",51-4121.00
Electrical and Electronic Engineering Technicians,17-3023.00
Parts Salespersons,41-2022.00
"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00
Energy Brokers,41-3099.01
Foundry Mold and Coremakers,51-4071.00
"Insurance Appraisers, Auto Damage",13-1032.00
Jewelers and Precious Stone and Metal Workers,51-9071.00
"Extraction Workers, All Other",47-5099.00
"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019.00
Wind Turbine Service Technicians,49-9081.00
Court Clerks,43-4031.01
Detectives and Criminal Investigators,33-3021.00
Embalmers,39-4011.00
Occupational Health and Safety Technicians,29-9012.00
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011.00
"Agricultural Sciences Teachers, Postsecondary",25-1041.00
Credit Counselors,13-2071.00
Etchers and Engravers,51-9194.00
"Service Unit Operators, Oil, Gas, and Mining",47-5013.00
Models,41-9012.00
Boilermakers,47-2011.00
Ophthalmic Medical Technologists,29-2099.05
"Pourers and Casters, Metal",51-4052.00
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042.00
Electronic Drafters,17-3012.01
Technical Directors/Managers,27-2012.05
Flight Attendants,53-2031.00
Aviation Inspectors,53-6051.01
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041.00
Brickmasons and Blockmasons,47-2021.00
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122.00
"Cooks, Fast Food",35-2011.00
Ophthalmic Laboratory Technicians,51-9083.00
Roofers,47-2181.00
"Home Economics Teachers, Postsecondary",25-1192.00
Retail Loss Prevention Specialists,33-9099.02
Outdoor Power Equipment and Other Small Engine Mechanics,49-3053.00
Weatherization Installers and Technicians,47-4099.03
Nuclear Power Reactor Operators,51-8011.00
Rough Carpenters,47-2031.02
Music Composers and Arrangers,27-2041.04
Instructional Designers and Technologists,25-9031.01
Log Graders and Scalers,45-4023.00
Railroad Conductors and Yardmasters,53-4031.00
Librarians,25-4021.00
Computer and Information Systems Managers,11-3021.00
Electricians,47-2111.00
Physician Assistants,29-1071.00
Gaming Supervisors,39-1011.00
"Geoscientists, Except Hydrologists and Geographers",19-2042.00
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122.01
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012.00
Biomedical Engineers,17-2031.00
"Textile, Apparel, and Furnishings Workers, All Other",51-6099.00
Industrial Machinery Mechanics,49-9041.00
Shoe and Leather Workers and Repairers,51-6041.00
Cement Masons and Concrete Finishers,47-2051.00
Operations Research Analysts,15-2031.00
Floral Designers,27-1023.00
Electrical Engineering Technicians,17-3023.03
Music Directors and Composers,27-2041.00
Editors,27-3041.00
Medical Assistants,31-9092.00
"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00
Economists,19-3011.00
Electrical and Electronic Equipment Assemblers,51-2022.00
Judicial Law Clerks,23-1012.00
First-Line Supervisors of Production and Operating Workers,51-1011.00
Transportation Managers,11-3071.01
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022.00
"Environmental Scientists and Specialists, Including Health",19-2041.00
Hydrologists,19-2043.00
"Preschool Teachers, Except Special Education",25-2011.00
Procurement Clerks,43-3061.00
Tool and Die Makers,51-4111.00
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092.00
Midwives,29-9099.01
"Special Education Teachers, All Other",25-2059.00
Technical Writers,27-3042.00
"Sales and Related Workers, All Other",41-9099.00
"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00
First-Line Supervisors of Personal Service Workers,39-1021.00
Biological Technicians,19-4021.00
Advertising and Promotions Managers,11-2011.00
Chemists,19-2031.00
"Insulation Workers, Floor, Ceiling, and Wall",47-2131.00
Materials Engineers,17-2131.00
"Order Fillers, Wholesale and Retail Sales",43-5081.04
Security Guards,33-9032.00
Computer Programmers,15-1131.00
Medical Equipment Preparers,31-9093.00
Tutors,25-3099.02
"Insurance Adjusters, Examiners, and Investigators",13-1031.02
Investment Fund Managers,11-9199.03
Insurance Sales Agents,41-3021.00
Auditors,13-2011.02
"Dentists, All Other Specialists",29-1029.00
"Court, Municipal, and License Clerks",43-4031.00
Computer and Information Research Scientists,15-1111.00
Data Entry Keyers,43-9021.00
"Plant and System Operators, All Other",51-8099.00
Fabric and Apparel Patternmakers,51-6092.00
"Rotary Drill Operators, Oil and Gas",47-5012.00
"Software Developers, Applications",15-1132.00
"Police, Fire, and Ambulance Dispatchers",43-5031.00
Medical and Health Services Managers,11-9111.00
Quality Control Analysts,19-4099.01
Architectural Drafters,17-3011.01
Reporters and Correspondents,27-3022.00
Writers and Authors,27-3043.00
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00
"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061.00
Taxi Drivers and Chauffeurs,53-3041.00
Solar Energy Systems Engineers,17-2199.11
Computer Network Support Specialists,15-1152.00
Physicists,19-2012.00
"Graders and Sorters, Agricultural Products",45-2041.00
Wind Energy Engineers,17-2199.10
Athletes and Sports Competitors,27-2021.00
Traffic Technicians,53-6041.00
Sound Engineering Technicians,27-4014.00
Athletic Trainers,29-9091.00
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00
Industrial Engineering Technologists,17-3029.05
"Logging Workers, All Other",45-4029.00
"Special Education Teachers, Kindergarten and Elementary School",25-2052.00
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00
Sustainability Specialists,13-1199.05
"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00
Political Scientists,19-3094.00
"Appraisers, Real Estate",13-2021.02
Gas Compressor and Gas Pumping Station Operators,53-7071.00
Food Scientists and Technologists,19-1012.00
"Switchboard Operators, Including Answering Service",43-2011.00
Exercise Physiologists,29-1128.00
Neurodiagnostic Technologists,29-2099.01
Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01
Electronics Engineering Technologists,17-3029.04
Singers,27-2042.01
"Electric Motor, Power Tool, and Related Repairers",49-2092.00
"Education Teachers, Postsecondary",25-1081.00
Anesthesiologist Assistants,29-1071.01
Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00
"Helpers, Construction Trades, All Other",47-3019.00
"Chemistry Teachers, Postsecondary",25-1052.00
Electronic Home Entertainment Equipment Installers and Repairers,49-2097.00
"Eligibility Interviewers, Government Programs",43-4061.00
Hunters and Trappers,45-3021.00
Investment Underwriters,13-2099.03
Statement Clerks,43-3021.01
Billing and Posting Clerks,43-3021.00
Astronomers,19-2011.00
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012.00
Energy Auditors,13-1199.01
Geospatial Information Scientists and Technologists,15-1199.04
Criminal Investigators and Special Agents,33-3021.03
"Arbitrators, Mediators, and Conciliators",23-1022.00
"Managers, All Other",11-9199.00
Security Managers,11-9199.07
"Sales Agents, Financial Services",41-3031.02
"Musicians, Instrumental",27-2042.02
"Production, Planning, and Expediting Clerks",43-5061.00
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00
Photonics Technicians,17-3029.08
Dental Assistants,31-9091.00
Animal Trainers,39-2011.00
"Assemblers and Fabricators, All Other",51-2099.00
Supply Chain Managers,11-9199.04
"Engineering Technicians, Except Drafters, All Other",17-3029.00
"Bus Drivers, Transit and Intercity",53-3021.00
"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00
Environmental Compliance Inspectors,13-1041.01
Stationary Engineers and Boiler Operators,51-8021.00
Refuse and Recyclable Material Collectors,53-7081.00
"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00
Archivists,25-4011.00
"Poets, Lyricists and Creative Writers",27-3043.05
Labor Relations Specialists,13-1075.00
Loan Counselors,13-2071.01
Pest Control Workers,37-2021.00
Costume Attendants,39-3092.00
Non-Destructive Testing Specialists,17-3029.01
Merchandise Displayers and Window Trimmers,27-1026.00
Locksmiths and Safe Repairers,49-9094.00
Microbiologists,19-1022.00
"Social Workers, All Other",21-1029.00
"Tailors, Dressmakers, and Custom Sewers",51-6052.00
Mapping Technicians,17-3031.02
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011.00
Community Health Workers,21-1094.00
Gaming Dealers,39-3011.00
Tax Preparers,13-2082.00
Dental Hygienists,29-2021.00
Health Educators,21-1091.00
Helpers--Extraction Workers,47-5081.00
"Business Operations Specialists, All Other",13-1199.00
Excavating and Loading Machine and Dragline Operators,53-7032.00
"Motor Vehicle Operators, All Other",53-3099.00
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021.00
Crane and Tower Operators,53-7021.00
Bill and Account Collectors,43-3011.00
"Morticians, Undertakers, and Funeral Directors",39-4031.00
"Religious Workers, All Other",21-2099.00
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021.00
Actuaries,15-2011.00
Food Preparation Workers,35-2021.00
Personal Care Aides,39-9021.00
